	D12S391	ENSG00000205791.2	ENSG00000111261.8	ENSG00000165714.6	ENSG00000070018.4
NA19131	19.06976744186046	0.175366919730956	0.0896098109779025	9.0160378307471	1.05296586166072
NA19198	25.0	0.111561977260916	-0.000308632566065968	6.402135883195231	-0.539171889238447
HG00273	17.497109826589597	0.115211547888277	0.18760532876674696	6.0877502619556605	0.912536321856063
HG00150	18.965317919075147	0.111888782481602	0.0814187991298442	7.931721372270559	1.00339946799753
HG00145	17.994219653179194	0.0995642073011597	0.0822159382048649	6.9758365399625095	0.7975601780351891
HG00339	25.791907514450866	0.2878227299788739	0.0308934969360686	6.743304590403558	0.759998320936852
HG00102	21.885416666666664	0.131055153687993	0.104524045828519	7.3067478659129	0.56137111631479
HG00346	19.179310344827584	0.13290130464599	0.0127061922266266	7.7542160840825405	1.54321400166837
NA12249	18.92142857142857	0.0783244001938143	0.0433430645182726	6.2572617705847	1.07071954870234
HG00266	21.224137931034484	0.18154414427141294	0.0341004167742891	8.35265575758334	1.23810598461206
NA12413	21.806451612903228	0.142489261786282	0.007019310622517621	6.33054853009804	0.673401967801778
NA19236	19.19186046511628	0.207736550625813	-0.0010228872586347901	6.718159601886	1.39202310604946
NA20544	22.0	0.117915198765517	-0.00320429053493292	6.92362431119761	1.75840304023433
NA19204	19.0	0.213951691465664	0.0281086145538947	7.40780509589657	0.9085255559485492
HG00103	21.6	0.321140656954703	0.0220229283795857	8.33777388906593	1.39704108890979
NA20582	23.218390804597696	0.19158752218644395	0.0246203848727223	7.0599365818003	0.7271300377119879
NA19172	18.994219653179194	0.0842800763597264	0.0686632973320221	7.95578372341098	2.23892190601477
NA20815	23.04624277456648	0.21310633442327695	0.0088136947795217	8.09124876358758	0.481881769247027
HG00375	19.514450867052023	0.320933970929359	0.0574800862063179	9.174769494672509	0.992325621145557
NA18933	25.5	0.137607164879603	-0.007167988026076809	5.575701659898652	1.29774835517848
HG00245	19.735576923076927	0.15151182819426998	0.070196811421707	5.870605723884691	0.800380559230125
HG00319	22.274566473988447	0.22748486083411895	0.0506933605160946	6.01455517096616	0.710630065848262
NA12155	20.190751445086704	0.187652176887692	0.020322185398448003	7.38818547599357	1.06299553443448
NA12749	28.97687861271676	0.250304260692488	0.0570220401260897	7.172830696983191	1.4635378620791497
HG00341	21.375	0.167022698632918	0.0009025948390937588	4.33547944422083	1.10760177443999
NA20771	19.327683615819204	0.251334474806911	0.0657797616216903	5.67292749649146	1.08210523747579
NA20761	20.231213872832374	0.0705558023513905	0.0603332793280024	4.93145172702006	2.15358791964688
NA12341	21.63450292397661	0.124820512843702	-0.00422583948783137	6.8200759507194695	0.564699450631986
HG00380	21.38372093023256	0.039624177095092014	0.0909846713551898	7.791191993430999	1.00822301401374
NA12763	17.07471264367816	0.177553569633809	-0.008773492373947941	7.30837536991857	1.44100269128656
NA18917	18.44186046511628	0.222906130864201	0.12259096314979302	6.97880076921028	0.997347261611955
HG00116	21.770114942528743	0.156602040332991	0.0406185696857578	7.16693412806267	0.72118618916558
HG00260	20.682080924855487	0.131492578073168	0.0427226325565311	6.17269490134501	1.20550681061271
NA18907	18.17471590909091	0.23145372410043305	0.08811796526928699	3.05378631488002	1.47672616090997
NA20770	18.36925287356322	0.15138982325153302	0.036604139186182	6.819394119663332	1.276308233656
NA20807	22.005780346820806	0.284294486198142	0.0092754680797097	5.811934857794991	0.62653140334975
NA20796	20.1551724137931	0.135432962791431	0.0318687355579197	4.93642715335917	0.30090704803055
NA19160	17.665714285714284	0.15724513847525598	0.0043733861156109	7.407043004845558	0.509355299902867
NA20810	22.754285714285718	0.113749671326782	0.0485768713347598	6.52061430789846	1.17144797416851
NA20787	17.5	0.135237440949491	0.06865592820034999	6.80825840672307	1.56649600619536
NA07347	26.12209302325581	0.0546729740553384	0.0298516042708428	6.1862108362812105	0.727141035342494
HG00101	18.69142857142857	0.157474684973896	0.0161952039287986	6.812436887092838	1.42158526882027
HG00160	20.85057471264368	0.131931935474442	0.116091494098035	7.71689947492479	2.12509574629908
HG00251	18.242816091954023	0.114278810945695	0.0579141527336514	7.706293654391849	0.5831066864375519
