	D2S1338	ENSG00000229754.1	ENSG00000188282.8	ENSG00000079308.11
NA19131	16.999999999999996	0.0272282318344981	-0.0419201117397705	0.518607748637916
NA19198	20.48314606741573	0.0996502510590654	1.26392773413277	0.246743198887121
HG00273	18.40322580645161	0.147278752983382	2.73733541531066	1.06948883568803
HG00150	22.266304347826086	0.42397060428422	3.09048473703829	0.7409894958170308
HG00145	22.005494505494504	0.25306665486831303	1.41095348722434	0.4808734505429621
HG00339	21.37837837837837	0.7883085040018349	1.68313412314654	1.9395926174325704
HG00102	21.71794871794872	0.4443295285381311	2.70252014882557	0.635198032009297
HG00346	17.51086956521739	0.16680916161890802	1.76689271590266	0.847231452842782
NA12249	21.45901639344262	0.249280344427753	1.30195869440804	0.321044169289412
HG00266	21.097560975609753	0.50928021826617	1.20688740459506	0.0673118176368144
NA12413	24.5	0.238150698078439	1.70395591453612	0.352826529607286
NA19236	19.29032258064516	-0.0217042282847997	0.949619049151607	0.327222169970704
NA20544	22.989071038251357	0.166538587775806	2.2133808246615096	0.17046362605974302
NA19204	21.907608695652176	0.366666217874322	1.49393509279805	0.7510264535755129
HG00103	21.360902255639093	0.19072810561082296	3.33848127664372	0.3902055759320371
NA20582	21.5	0.566800831608792	2.7389856699936	0.19543587059479106
NA19172	21.902439024390244	0.159543608818096	1.9287779393554896	0.614012252266319
NA20815	21.293478260869566	0.183015669619584	1.99092839317844	0.3367237951685369
HG00375	18.25263157894737	0.15085352395057502	0.88250462812296	0.0989635478525749
NA18933	19.5	0.216512908936664	1.38497042679351	0.0395113781634097
HG00245		0.583520387940359	1.36666666623876	0.468826373546924
HG00319	21.731428571428577	0.28687029474943	1.27662295167702	0.466302570627695
NA12155	16.663043478260867	0.30068161711392605	2.0503569874790504	0.584834485289739
NA12749	17.021739130434785	0.149295747584922	0.965159569663447	0.4189604389863
HG00341	18.43169398907104	0.27526122344429804	1.52589020834128	0.457433650662762
NA20771	18.843930635838152	0.312380986647041	1.28638968881153	0.494827751434235
NA20761	19.847826086956523	0.12585445387626198	1.41936781343236	0.023036239563132003
NA12341	17.174863387978142	0.23248717080102105	2.1551813680568896	0.983349265833432
HG00380	17.5	0.22192537980483495	1.51912608971108	0.8539316412992289
NA12763	22.5	0.39648497669974	1.37206047051359	0.4151375795230179
NA18917	16.913978494623652	0.167094466180953	0.953780068502657	0.26816710186957105
HG00116	23.888235294117642	0.471675998996758	1.18712753273	0.181267923680816
HG00260	23.95530726256983	0.0160286924573011	-0.300743434609084	0.7065284547880121
NA18907	23.17341040462428	0.0623275012248028	0.7185331229932609	-0.0613269949201239
