ID	KDSR
NA18486	8.94413871326823
NA18487	7.95868514620119
NA18488	8.87261566154375
NA18489	7.76752152819407
NA18498	8.66552255708108
NA18499	9.56811111413402
NA18502	9.35644696099959
NA18505	7.86504272132885
NA18508	7.31109661694702
NA18510	7.36670673562005
NA18511	7.58869797203989
NA18517	7.07560331251166
NA18519	11.8944366404344
NA18520	8.31595669639039
NA18858	6.87334934438067
NA18861	7.8442382288181
NA18867	6.77484039607284
NA18868	7.0485445963367
NA18870	8.37314848621947
NA18873	8.27952957558535
NA18907	6.59256541598229
NA18908	7.79335630436681
NA18909	8.58923227504541
NA18910	8.8188757104259
NA18912	9.77229341241258
NA18916	6.43293516526526
NA18917	9.42663142658147
NA18923	8.2489363454758
NA18933	8.4964584317178
NA18934	5.5179609291352
NA19092	7.15954710147098
NA19093	11.2021680326435
NA19095	6.73699460391788
NA19096	8.57162290465009
NA19098	7.13108171293793
NA19099	6.94683974297544
NA19102	7.33609822553653
NA19107	8.46804785861611
NA19108	9.54056366579267
NA19113	7.77992699574796
NA19114	8.05367648139135
NA19116	7.71863253059461
NA19117	10.4196354272036
NA19118	7.8263106109944
NA19119	8.40273571988294
NA19121	7.39515708424351
NA19129	7.91662870889241
NA19130	7.78102348306394
NA19131	8.77089395254365
NA19137	6.53346349200447
NA19138	8.09243359085455
NA19141	9.30891974598947
NA19143	9.67911981099097
NA19144	7.41461864754423
NA19146	8.37106279892963
NA19147	8.38305112972575
NA19149	8.10671149141388
NA19150	8.49470677254133
NA19152	8.01451910776118
NA19153	6.59172300602509
NA19159	8.1242107223038
NA19160	10.5626745446395
NA19171	9.26920656472943
NA19172	8.66617068479133
NA19175	6.75042823598177
NA19184	8.22235464552015
NA19185	8.32269285541955
NA19189	8.11281432432181
NA19190	7.46884942304503
NA19197	7.2925020615673
NA19198	7.64110608441105
NA19200	6.86741211738064
NA19201	8.8306982585485
NA19204	6.8626143158183
NA19206	8.05470418197393
NA19207	7.63115563346821
NA19209	6.94573981302762
NA19210	7.82685194605114
NA19213	9.2880313071207
NA19214	7.13719516812652
NA19222	6.16574254449864
NA19223	7.06857423559656
NA19225	7.95235441011109
NA19235	7.19496291903042
NA19236	9.2680541027594
NA19247	6.85872026084529
NA19248	9.80679929937206
NA19256	7.40054197853977
NA19257	11.6770877956632
