ID	LARS2
NA06984	10.4019407599231
NA06985	8.62433079160245
NA06986	8.04553048296285
NA06989	9.62257273305313
NA06994	8.56832477836683
NA07037	10.3299009173238
NA07048	8.21763860538449
NA07051	9.71432245125998
NA07056	10.0793877254591
NA07346	9.60756380324833
NA07347	11.1426060054502
NA07357	10.7071586508755
NA10847	7.75910824077929
NA10851	9.09179083667775
NA11829	9.04379234241507
NA11830	8.73783702826386
NA11831	9.70639143068519
NA11832	9.71682883007831
NA11840	9.09955092899447
NA11843	9.26780182832333
NA11881	8.72596518251026
NA11892	8.37629522869293
NA11893	8.91319056479949
NA11894	10.4184148956771
NA11918	8.17612995588017
NA11920	11.4395957932626
NA11930	6.08286603688907
NA11931	11.4236097546195
NA11992	8.53320357566463
NA11993	9.20525789589647
NA11994	7.69130252763686
NA11995	6.96456453768215
NA12004	6.6750716562632
NA12005	10.7007577299418
NA12006	8.03398069821581
NA12043	8.42205717616463
NA12044	15.7582783043812
NA12045	11.7006245427641
NA12058	11.4180915627311
NA12144	12.0484246270855
NA12154	9.23479778714715
NA12155	8.67015455727027
NA12156	10.738581330825
NA12234	7.15566873519957
NA12249	7.10908975600218
NA12272	16.0794166101326
NA12273	8.54262959051722
NA12275	7.81977272566778
NA12282	8.8609174568423
NA12283	10.0663427379209
NA12286	7.47873629749373
NA12287	9.34983145150567
NA12340	9.57338063089808
NA12341	10.8893918186367
NA12342	12.1777091354994
NA12347	7.81702670235089
NA12348	10.7141328888333
NA12383	9.57134509060157
NA12399	7.43449045872778
NA12400	11.4629958249948
NA12413	9.54752112253573
NA12489	7.18097799130425
NA12546	9.80305541777508
NA12716	8.24840641761891
NA12717	8.85108109271883
NA12718	10.4752153589266
NA12749	10.0126002291723
NA12750	8.77258533870716
NA12751	11.2633981605493
NA12760	11.411981082654
NA12761	9.38406970459785
NA12762	9.91489364916635
NA12763	9.06628855666963
NA12775	6.87085018901279
NA12776	10.1601240730386
NA12777	9.73570932601758
NA12778	10.1632689552983
NA12812	8.19296782822095
NA12813	10.4807498181262
NA12814	6.08695433390032
NA12815	9.07862881762021
NA12827	9.74817828755087
NA12829	7.4800279101208
NA12830	9.14435273397303
NA12842	9.01596118371637
NA12843	11.0087769080226
NA12872	9.94529911473037
NA12873	7.15865434348128
NA12874	9.19528440098074
NA12889	8.27345745512907
NA12890	7.78395615227842
