ID	KDSR	LARS2	CSF1R	PDGFRB	TIGD6	RPS20P4	RPL7P1	HMGXB3	SLC26A2	C1orf198	COG2	C1D	CXCR2P1	RUFY4	TNS1	LIMD1	SEMA3A	ZNF572	RP11-1082L8	LOH12CR2	MANSC1	BORCS5	LRP6	BCL2	RPL9P32	URI1	SSTR3	IL2RB	C1QTNF6	KCTD17	Z82188	TMPRSS6	RP1-151B14.6	RAC2	DCHS2	PLRG1	RP11-158C21.3	TPO	VWF
HG00096	9.82025168177286	9.75294665719534	0.22535561567989	0.222846270992758	2.11627034895555	0.192236333516375	2179.49523786123	16.7437343809641	1.60924036151234	0.633866809272252	4.88770456799878	20.3435288080382	-0.00735903199926607	-0.449580882117636	0.455852275539557	13.4971778781566	0.0468002043672554	0.4281060208899	1.74770641339363	0.11589881446794	0.0193102488358364	5.75885452605822	0.915608834558645	25.9861837850719	214.223006942197	25.4859207646449	4.26997298416896	39.0868768160915	0.810080763834576	8.30019136588444	110.989632239119	0.300164628624847	0.128995516671278	304.968148057172	0.102627947650203	34.3533103291144	0.0637852380013456	0.0560387443427862	0.0134671047637939
HG00097	7.50393757785698	9.81141124697793	0.2192694444275	0.390644915951969	1.13188912466145	0.205328197890487	2122.52771165654	13.2430444485235	1.66594468238588	0.854623531604832	8.93689720807394	15.3873654485441	0.145399147308049	1.03550197746141	0.735136432879963	13.2943655030511	0.0156089204858187	0.446402439077598	1.2393563267347	0.186341930008745	0.0598761698881125	6.41061613393249	0.266219386299591	27.1687480022657	219.968946678594	29.6372754926847	6.48199994552769	38.5434981684126	1.17539314838317	4.08096909604071	82.3846879781457	0.127679045755552	0.204701243857849	289.085150298259	0.183705696840287	30.9352706202084	0.0057659014893724	-0.00514455941459295	0.00934618254588752
HG00099	5.56445760871555	5.38665152891203	0.17947283908112	0.141198017666443	1.01451663045898	0.00214132715694101	1392.55195252353	7.97390854631152	1.26355245470069	0.35634964134433	7.08446167920312	10.918405748929	0.102141759753327	0.425568899156384	0.100466478038994	4.6884386083993	0.0873325794762035	0.247393745907585	0.667586826786379	0.0716611924015889	0.00441836843550904	2.53532490282096	0.287326576948365	15.1796057276525	104.653368712706	19.0300449478885	2.47856683698423	26.3624577182074	0.910572945594074	2.46084236771005	93.9249513726375	0.158571847263323	0.0660589613533657	153.443332347446	0.841411216686904	15.5515016220526	0.033892925214387	0.0392930273711004	0.00221758256008041
HG00100	7.55012341117795	10.9093477500582	0.223995300784694	0.702281030985763	2.45842158524617	0.0115254536964854	2042.15237522519	16.5283317000305	1.57768673782728	1.22872397136402	8.10336840935832	15.796483807797	-0.0463427017266209	0.520036483185532	0.38911250861862	15.03897964013	0.155561066103475	0.529792057756617	1.49646632671693	0.109771634910116	0.0384024338680129	7.86920110305195	2.27692285779604	23.737074992156	176.297868504603	28.0423881933597	6.3690309825825	40.2896091521052	0.68602258500304	6.36872322410568	145.002779101021	0.0697133216209153	0.0786159991279376	308.703965690327	0.0615848232752146	37.7038988724454	-0.00664206749977456	-0.00171260457576453	0.013768776076553
HG00101	7.26794934063688	11.6940691012637	0.322167239293219	1.18846394604633	1.55979896204861	0.165185311165317	2044.7459504603	17.2897821852552	1.70172198770273	0.85904337896241	8.75466284062922	16.8161564663724	0.472108840872539	8.43702854641048	0.81679397270962	13.6222972435808	0.0373746977625509	0.520776236507528	0.670559244477386	0.157474684973896	0.0161952039287986	6.81243688709284	1.42158526882027	25.7983351740823	188.668142144044	30.6988801280212	5.53508333223749	41.9641677879412	0.540551671412936	4.62096004381836	104.266366004897	0.281133126173038	0.126898297657425	305.787210197091	0.0719945752716314	34.0376793566019	0.0177231925703957	0.0337441975078422	0.0177746809531517
HG00102	7.33006018968727	6.74074124518052	0.409944332772669	0.518361709058947	2.23704836050053	0.216942687451069	2182.76087233085	15.4909002520995	1.42237212628349	0.88579561929738	9.91891449799599	15.6212109906547	0.444329528538131	2.70252014882557	0.635198032009297	9.39617276960539	0.00242088226136572	0.447743257264858	1.13744589274762	0.131055153687993	0.104524045828519	7.3067478659129	0.56137111631479	28.2686462309045	222.562301605824	30.460011528426	5.29000301837295	36.391904608116	2.11469921944843	3.50797532602988	195.187887486053	0.111381751395719	0.0584259256656185	258.379880746767	0.174688244295043	21.3246898796602	0.0555950900989398	-0.019276224396297	0.00439833033624699
HG00103	7.56016650280413	10.4292559571377	0.394241026410803	0.734490056789001	2.17538215991662	1.48649625829417	1749.73438751041	20.7230331663527	1.82349812404691	1.49696564108659	8.13787513499605	14.8327957494687	0.190728105610823	3.33848127664372	0.390205575932037	12.7733923828639	0.0183865369039557	0.806116685738015	1.15790384238441	0.321140656954703	0.0220229283795857	8.33777388906593	1.39704108890979	27.831144792196	176.921992932537	32.3451810813722	9.2556165228354	53.1876203850836	1.56100621362357	4.29771785839349	167.960788974343	0.0428115070562728	0.346653323941204	309.536472231217	0.229973394824088	38.8281935960681	0.00559306469175248	0.0723989273100328	0.00875888393029255
HG00104	6.076047821178	9.42713439021502	0.242152722266528	1.1801666771564	2.67359215964756	0.405273209093345	1961.52456474677	16.3771151614506	1.84585811560757	1.00731535469712	9.04858840373833	20.2496835104774	0.27364917778771	0.899082498366756	0.933725514920948	11.8119584480242	0.0403699902072109	0.565598236983268	1.05412389539775	0.145902619603562	0.0502337210742697	5.59699870076464	1.39334003923907	21.0419996234463	159.6965279342	32.2856233770227	3.64019135022372	42.2837106725525	1.85367622720571	3.64026072476345	83.1761185767898	0.199797783683046	0.0858291764632623	309.138992009657	0.109772195542923	30.4510577339931	0.0197787293936188	0.013446114764709	-0.00323493956062306
HG00105	7.24763482695036	7.93546830225168	0.421993744579673	0.392709615261421	2.19347065508577	0.0530195086002836	1813.72987682093	15.3626480431128	1.78684633429032	1.4617350678593	13.7604367517693	16.8131397587536	0.24532930422956	1.7764892478036	0.562721755346471	12.305443628233	0.0520502136766219	0.40242071544687	0.984051462269614	0.0697152516756276	0.00127937906845367	5.82552773702731	0.668759444588261	28.5230285634884	158.207280270224	30.7476114353797	4.23661807586618	47.5627065016492	1.28238724616398	6.07423061032586	179.463383612712	0.249906440519112	0.168422510652443	369.500701749886	0.161233097162618	37.784322085624	0.043966685638945	0.060951335885832	0.0113675143067407
HG00106	8.6538510789559	9.27851149703598	0.242196430242739	0.453525834547496	2.13006436323026	0.210075791780781	2196.48373472862	16.739875626621	1.86824197306775	0.868273960550199	8.64800996980386	18.7754532928962	0.0625518574591051	0.452077124402583	0.475268053011708	25.3260695839062	0.113225448316839	0.333324330110022	1.45793804830606	0.229402825156568	0.0474009892066199	6.61171545773464	0.659408365507545	20.7481390102656	191.422849765698	28.1879607165266	6.75724654394042	56.6339065928215	0.515418789626544	6.13636307151419	169.878643099128	0.414841644298197	0.038016804887945	333.081278638415	0.0366040871154882	27.5337950547114	0.0895165094871537	0.0950645558908368	0.0100341408753415
