ID	CSF1R	TIGD6	C1D	LARS2	KDSR	PLRG1
HG00096	0.22535561567989	2.11627034895555	20.3435288080382	9.75294665719534	9.82025168177286	34.3533103291144
HG00097	0.2192694444275	1.13188912466145	15.3873654485441	9.81141124697793	7.50393757785698	30.9352706202084
HG00099	0.17947283908112	1.01451663045898	10.918405748929	5.38665152891203	5.56445760871555	15.5515016220526
HG00100	0.223995300784694	2.45842158524617	15.796483807797	10.9093477500582	7.55012341117795	37.7038988724454
HG00101	0.322167239293219	1.55979896204861	16.8161564663724	11.6940691012637	7.26794934063688	34.0376793566019
HG00102	0.409944332772669	2.23704836050053	15.6212109906547	6.74074124518052	7.33006018968727	21.3246898796602
HG00103	0.394241026410803	2.17538215991662	14.8327957494687	10.4292559571377	7.56016650280413	38.8281935960681
HG00104	0.242152722266528	2.67359215964756	20.2496835104774	9.42713439021502	6.076047821178	30.4510577339931
HG00105	0.421993744579673	2.19347065508577	16.8131397587536	7.93546830225168	7.24763482695036	37.784322085624
HG00106	0.242196430242739	2.13006436323026	18.7754532928962	9.27851149703598	8.6538510789559	27.5337950547114
HG00108	0.277642710929979	1.56318090033902	17.4055794007417	8.45533829250759	6.36692687570581	28.9706561546323
HG00109	0.0585973280879128	2.33244185604879	22.8463032397788	9.13154538500126	7.41562166646904	33.5111422384338
HG00110	0.291412564304293	2.00145494096353	20.2015518044067	8.94752897804729	8.55518793013357	37.0645488308771
HG00111	0.379677975889579	1.85589359709189	21.935082154768	9.71823784564083	7.84199148766609	32.3424970759932
HG00112	0.204233800931136	1.42536232990648	23.3946766109621	10.2354377583055	7.21175467409093	36.7294940524109
HG00114	0.106063059122879	1.57769026645895	16.6994588474703	9.69719155880622	8.59970139318746	39.0867935133374
HG00115	0.109049615357734	1.58778725539888	18.1784352863433	9.2088004175047	6.74847622681841	37.0916803444314
HG00116	0.187298204685757	2.21370760487071	16.1487465594483	10.1045820220375	7.36504947588082	43.1875794190144
HG00117	0.415235515522959	1.63131203615614	13.743617283084	9.98427164971844	8.34027235807256	33.6450079320214
