ID	KDSR	LARS2	CSF1R
HG00096	9.82025168177286	9.75294665719534	0.22535561567989
HG00097	7.50393757785698	9.81141124697793	0.2192694444275
HG00099	5.56445760871555	5.38665152891203	0.17947283908112
HG00100	7.55012341117795	10.9093477500582	0.223995300784694
HG00101	7.26794934063688	11.6940691012637	0.322167239293219
HG00102	7.33006018968727	6.74074124518052	0.409944332772669
HG00103	7.56016650280413	10.4292559571377	0.394241026410803
HG00104	6.076047821178	9.42713439021502	0.242152722266528
HG00105	7.24763482695036	7.93546830225168	0.421993744579673
HG00106	8.6538510789559	9.27851149703598	0.242196430242739
HG00108	6.36692687570581	8.45533829250759	0.277642710929979
HG00109	7.41562166646904	9.13154538500126	0.0585973280879128
HG00110	8.55518793013357	8.94752897804729	0.291412564304293
HG00111	7.84199148766609	9.71823784564083	0.379677975889579
HG00112	7.21175467409093	10.2354377583055	0.204233800931136
HG00114	8.59970139318746	9.69719155880622	0.106063059122879
HG00115	6.74847622681841	9.2088004175047	0.109049615357734
HG00116	7.36504947588082	10.1045820220375	0.187298204685757
HG00117	8.34027235807256	9.98427164971844	0.415235515522959
HG00118	7.96020260764569	9.31244684449621	0.246372862823102
HG00119	8.09896867617652	10.5391775808669	1.07231425756433
HG00120	9.4291852242033	10.3247083533063	0.534668723333401
HG00121	7.96305558258734	10.3891302979456	0.485099742871036
HG00122	8.97390864185841	10.1414397984823	0.2024476889256
HG00123	8.1694755152685	10.2702506585903	0.486371046184701
HG00124	9.67849239477404	8.57589047819016	0.573017365230716
HG00125	4.73326857659834	7.43169840317846	0.178947624353935
HG00126	7.72817018818459	8.14198570837278	0.120356788569496
HG00127	7.92588491181765	8.09197107249599	0.125723518127132
HG00128	6.52753065555614	7.32028224608754	0.327774963323891
HG00129	9.34875435322398	14.9213677684967	0.221401406965582
HG00130	8.3132199644809	7.17306891288636	0.337698541791698
HG00131	9.66809249084336	7.76585720788469	1.02288738974139
HG00132	7.98630872294747	9.44059518887995	0.354225006085156
HG00133	7.32875337055498	9.19855683460004	0.153119210517413
HG00134	7.02169154117098	9.09402707354328	0.306267694209156
HG00135	8.59621569806094	9.20536535791031	0.0842369146367794
HG00136	8.41670121452409	7.04699639060274	0.428060524401563
HG00137	7.95615949348897	9.90634118688157	0.391195553465236
HG00138	8.47344800193444	10.6135062137993	0.130509539524745
HG00139	7.41997249449699	8.41639352991085	1.28154342990609
HG00141	9.35286549601375	9.39504528307692	1.13765529052727
HG00142	7.91906658700894	9.79314369791537	0.372433349955033
HG00143	8.64672293606269	8.17752662568271	0.229116098844168
HG00145	7.91637581238047	8.04348152512386	0.338084853359094
HG00146	8.17401085894144	9.97345854194943	0.177309555141668
HG00148	6.49122145388076	8.79037802895463	0.602139927448488
HG00149	11.3251138731529	8.22037651762995	0.0660877979873336
HG00150	7.7910178161124	11.5658852090194	0.390284494096629
HG00151	10.0172512193433	8.07331628234598	0.166300890626911
HG00152	7.83454366280849	9.12415931221542	0.263876251689346
HG00154	8.10938669817213	14.0307496978019	0.305946287607829
HG00155	7.5530940085519	8.94369519638874	0.282781350997695
HG00156	6.71928115331803	9.90663804321829	0.243416457221633
HG00157	8.25063108598841	9.79201343821771	0.473832402371312
HG00158	7.57331951961013	11.0056209157867	0.16446060942916
HG00159	7.42252300673148	6.42673289149608	0.222368413525697
HG00160	7.87595601109127	9.64332661778908	0.253282818027418
